,Clinical Trial Drug Name,DrugBank Drug Name,Match Score,First Approval Date,Highest Development Phase
1205,cetuximab,cetuximab,100.0,2004.0,4.0
1206,muraglitazar,muraglitazar,100.0,,
1207,rgls8429,rgls-8429,94.11764705882352,,1.0
1208,suvorexant,suvorexant,100.0,2014.0,4.0
1221,desloratadine and pseudoephedrine,desloratadine,100.0,2001.0,4.0
1222,bexarotene,bexarotene,100.0,1999.0,4.0
1228,nusinersen,nusinersen,100.0,,4.0
1229,cc-90001,cc-90001,100.0,,2.0
1232,serlopitant tablets,serlopitant,100.0,,3.0
1233,sotrastaurin (dose 1) + tacrolimus + standard of care medications,sotrastaurin,100.0,,2.0
1237,canakinumab,canakinumab,100.0,2009.0,4.0
1242,atomoxetine,atomoxetine,100.0,2002.0,4.0
1243,acarbose,acarbose,100.0,1995.0,4.0
1244,pyridostigmine bromide,pyridostigmine,100.0,1955.0,4.0
1245,yohimbine,yohimbine,100.0,,4.0
1246,midodrine hcl,midodrine,100.0,1996.0,4.0
1247,octreotide,octreotide,100.0,1988.0,4.0
1249,ranitidine hcl,ranitidine,100.0,1983.0,4.0
1250,tranylcypromine,tranylcypromine,100.0,,
1251,ergotamine/ caffeine,caffeine,100.0,1948.0,4.0
1252,pseudoephedrine,pseudoephedrine,100.0,1963.0,4.0
1254,indomethacin,indomethacin,100.0,1985.0,4.0
1256,oxymetazoline  nasal solution,oxymetazoline,100.0,1986.0,4.0
1257,acetazolamide,acetazolamide,100.0,1953.0,4.0
1268,propofol,propofol,100.0,1989.0,4.0
1272,toremifene,toremifene,100.0,,
1273,teriflunomide hmr1726,teriflunomide,100.0,2012.0,4.0
1276,buspirone,buspirone,100.0,1986.0,4.0
1281,daridorexant,daridorexant,100.0,2022.0,4.0
1289,ixabepilone,ixabepilone,100.0,2007.0,4.0
1293,ontamalimab,ontamalimab,100.0,,3.0
1313,tivantinib,tivantinib,100.0,,3.0
1314,carfilzomib,carfilzomib,100.0,2009.0,4.0
1316,quetiapine fumarate,quetiapine,100.0,1997.0,4.0
1317,velpatasvir,velpatasvir,100.0,2016.0,4.0
1318,selegiline,selegiline,100.0,1989.0,4.0
1328,ags-004,ags-004,100.0,,2.0
1329,pacritinib,pacritinib,100.0,,
1331,amiloride hcl,amiloride,100.0,1981.0,4.0
1332,warfarin,warfarin,100.0,1954.0,4.0
1334,voxilaprevir,voxilaprevir,100.0,2017.0,4.0
1338,pazopanib,pazopanib,100.0,2009.0,4.0
1339,lapatinib ditosylate,lapatinib,100.0,2007.0,4.0
1341,crizotinib,crizotinib,100.0,2011.0,4.0
1346,migalastat hcl,migalastat,100.0,2016.0,4.0
1348,test chloroquine (cq) formulation,chloroquine,100.0,1949.0,4.0
1354,tocilizumab [roactemra/actemra],tocilizumab,100.0,2005.0,4.0
1357,bafetinib,bafetinib,100.0,,
1358,xl765 (sar245409),xl765,100.0,,
1360,ot-551 ophthalmic solution,ot-551,100.0,,2.0
1362,acyclovir,acyclovir,100.0,1982.0,4.0
1363,leuprolide acetate 22. depot,leuprolide,100.0,1985.0,4.0
1370,enoxaparin sodium,enoxaparin,100.0,1993.0,4.0
1371,semuloparin sodium,semuloparin,100.0,,-1.0
1373,abemaciclib,abemaciclib,100.0,2017.0,4.0
1374,vismodegib,vismodegib,100.0,2012.0,4.0
1375,prasterone (gl701),prasterone,100.0,,
1378,pramipexole,pramipexole,100.0,,
1384,levothyroxine,levothyroxine,100.0,2000.0,4.0
1387,prt060128 potassium,potassium,100.0,1979.0,4.0
1388,carisbamate,carisbamate,100.0,,3.0
1392,zavegepant,zavegepant,100.0,2023.0,4.0
1394,azd9977,azd-9977,93.33333333333333,,2.0
1400,tretinoin,tretinoin,100.0,,2.0
1403,fexofenadine tablets,fexofenadine,100.0,1996.0,4.0
1406,vt-122 (propranolol plus etodolac),propranolol,95.65217391304348,1967.0,4.0
1407,retosiban,retosiban,100.0,,3.0
1408,rabbit anti-thymocyte globulin,rabbit,100.0,2011.0,-1.0
1410,pf-04965842,pf-04958242,90.9090909090909,,2.0
1412,azd8630,azd8630,100.0,,
1414,terlipressin,terlipressin,100.0,2022.0,4.0
1416,bremelanotide,bremelanotide,100.0,2019.0,4.0
1417,decitabine,decitabine,100.0,2006.0,4.0
1420,mm-111 + herceptin,mm-111,100.0,,2.0
1426,peptide-tet,peptide-t,90.0,,2.0
1429,cediranib,cediranib,100.0,,3.0
1433,isavuconazonium sulfate,isavuconazonium,100.0,2015.0,4.0
1438,parsaclisib,parsaclisib,100.0,,1.0
1440,tralokinumab dose 1,tralokinumab,100.0,2021.0,4.0
1446,pralatrexate,pralatrexate,100.0,2009.0,4.0
1449,bms-919373,bms-919373,100.0,,2.0
1451,evacetrapib,evacetrapib,100.0,,3.0
1453,dasiglucagon,dasiglucagon,100.0,,3.0
1458,timolol maleate pf  ophthalmic solution,timolol,100.0,1978.0,4.0
1461,pasireotide lar,pasireotide,100.0,,
1466,ns2359,ns-2359,92.3076923076923,,2.0
1472,91-day levonorgestrel oral contraceptive,levonorgestrel,100.0,1982.0,4.0
1476,regorafenib,regorafenib,100.0,2012.0,4.0
1477,neratinib,neratinib,100.0,2017.0,4.0
1478,loperamide,loperamide,100.0,1976.0,4.0
1479,colestipol,colestipol,100.0,1977.0,4.0
1480,budesonide,budesonide,100.0,1994.0,4.0
1486,daclizumab,daclizumab,100.0,1997.0,4.0
1492,bapineuzumab (aab-001),bapineuzumab,100.0,,3.0
1503,eflornithine,eflornithine,100.0,1990.0,4.0
1510,bms-986256,bms-986251,90.0,,1.0
1511,vir-7831 (sotrovimab),sotrovimab,90.9090909090909,2021.0,4.0
1512,bosutinib,bosutinib,100.0,2012.0,4.0
1513,sildenafil cream,sildenafil,100.0,1998.0,4.0
1514,gsk239512,gsk-239512,94.73684210526316,,
1515,aprepitant,aprepitant,100.0,,
1517,intravenous glenzocimab (act017),glenzocimab,100.0,,2.0
1522,pyrazoloacridine,pyrazoloacridine,100.0,,2.0
1523,epratuzumab,epratuzumab,100.0,,3.0
1524,s-adenosyl methionine for chronic liver disease,methionine,100.0,,
1525,oncos-102,oncos-102,100.0,,
1526,dexpramipexole (dose 1),dexpramipexole,100.0,,3.0
1530,binimetinib,binimetinib,100.0,2018.0,4.0
1531,sotorasib,sotorasib,100.0,,
1532,osimertinib,osimertinib,100.0,2015.0,4.0
1534,"traxiprodil (cp-101,606)",traxoprodil,90.9090909090909,,-1.0
1535,efalizumab,efalizumab,100.0,2003.0,4.0
1536,dalfampridine,dalfampridine,100.0,2010.0,4.0
1539,anakinra,anakinra,100.0,2001.0,4.0
1542,zanubrutinib,zanubrutinib,100.0,2019.0,4.0
1543,panobinostat,panobinostat,100.0,2015.0,4.0
1546,rh-1,rh-1,100.0,,
1554,telaprevir,telaprevir,100.0,,
1561,buparlisib,buparlisib,100.0,,-1.0
1563,alprostadil,alprostadil,100.0,,-1.0
1566,diltiazem,diltiazem,100.0,1996.0,4.0
1567,gefapixant,gefapixant,100.0,,1.0
1570,tavilermide ophthalmic solution,tavilermide,100.0,,3.0
1571,tariquidar,tariquidar,100.0,,3.0
1581,tetrathiomolybdate,tetrathiomolybdate,100.0,,1.0
1583,c-13 labeled lysine,lysine,100.0,,4.0
1590,ponsegromab,ponsegromab,100.0,,2.0
1606,aminopterin,aminopterin,100.0,,2.0
1615,tucatinib,tucatinib,100.0,2020.0,4.0
1617,sapropterin dihydrochloride,sapropterin,100.0,2007.0,4.0
1621,pegloticase,pegloticase,100.0,2010.0,4.0
1626,omadacycline,omadacycline,100.0,2018.0,4.0
1629,medi6012,medi6012,100.0,,2.0
1630,odalasvir,odalasvir,100.0,,2.0
1631,bleomycin sulfate,bleomycin,100.0,1973.0,4.0
1634,canagliflozin (jnj-28431754),canagliflozin,100.0,2011.0,4.0
1636,lumateperone,lumateperone,100.0,2019.0,4.0
1637,chf5633,chf5633,100.0,,
1640,bimekizumab,bimekizumab,100.0,2021.0,4.0
1643,dabigatran,dabigatran,100.0,2008.0,4.0
1644,selpercatinib,selpercatinib,100.0,,
1647,palonosetron hydrochloride,palonosetron,100.0,2003.0,4.0
1649,cariprazine,cariprazine,100.0,2015.0,4.0
1659,lurasidone,lurasidone,100.0,2010.0,4.0
1666,pemigatinib,pemigatinib,100.0,2020.0,4.0
1672,pomalidomide,pomalidomide,100.0,2013.0,4.0
1676,magrolimab,magrolimab,100.0,,3.0
1679,enasidenib,enasidenib,100.0,2017.0,4.0
1681,prochlorperazine 0. iv over 5 sec,prochlorperazine,100.0,,
1688,cytochrome p450 inhibitor,cytochrome c,90.9090909090909,,
1694,benralizumab arm a,benralizumab,100.0,2017.0,4.0
1704,azd5153,azd-5153,93.33333333333333,,1.0
1705,carmustine,carmustine,100.0,1977.0,4.0
1712,jbpos0101,jbpos0101,100.0,,2.0
1713,olanzapine,olanzapine,100.0,2009.0,4.0
1715,valsartan,valsartan,100.0,1996.0,4.0
1723,galunisertib,galunisertib,100.0,,2.0
1733,apd421- amisulpride for iv injection,amisulpride,100.0,1986.0,4.0
1738,tazemetostat,tazemetostat,100.0,2020.0,4.0
1739,ozanezumab,ozanezumab,100.0,,2.0
1740,pf-03463275,pf-03463275,100.0,,2.0
1746,volasertib,volasertib,100.0,,
1753,brivaracetam,brivaracetam,100.0,2016.0,4.0
1754,imexon + docetaxel,imexon,100.0,,2.0
1755,zolpidem,zolpidem,100.0,1992.0,4.0
1758,naloxone,naloxone,100.0,,
1760,phentolamine ophthalmic solution,phentolamine,100.0,1952.0,4.0
1765,entrectinib test formulation (f1),entrectinib,100.0,2019.0,4.0
1770,podofilox gel,podofilox,100.0,1990.0,4.0
1772,nepafenac ophthalmic suspension,nepafenac,100.0,2005.0,4.0
1775,bicalutamide,bicalutamide,100.0,1995.0,4.0
1776,bexagliflozin,bexagliflozin,100.0,2023.0,4.0
1780,veliparib,veliparib,100.0,,3.0
1783,linerixibat,linerixibat,100.0,,
1784,"cp-195,543",cp-195543,94.73684210526316,,2.0
1788,isatuximab,isatuximab,100.0,2020.0,4.0
1792,secukinumab,secukinumab,100.0,2015.0,4.0
1797,matrix-m2 adjuvant (),matrix-m,94.11764705882352,,3.0
1798,tenecteplase,tenecteplase,100.0,2000.0,4.0
1801,trifluridine and tipiracil hydrochloride,trifluridine,100.0,1980.0,4.0
1803,soticlestat,soticlestat,100.0,,3.0
1804,ilorasertib,ilorasertib,100.0,,2.0
1805,"cp-866,087",cp-866087,94.73684210526316,,2.0
1806,tas-102,tas-102,100.0,,2.0
1808,saxagliptin,saxagliptin,100.0,,3.0
1810,seviteronel: given orally once daily in 28-day cycles,seviteronel,95.65217391304348,,2.0
1817,cocaine hydrochloride,cocaine,100.0,,
1827,tamsulosin,tamsulosin,100.0,1997.0,4.0
1832,vedolizumab,vedolizumab,100.0,2014.0,4.0
1836,siltuximab,siltuximab,100.0,2014.0,4.0
1837,nisoldipine extended-release tablets,nisoldipine,100.0,1995.0,4.0
1842,nelarabine,nelarabine,100.0,2005.0,4.0
1843,lb-102,lb-102,100.0,,1.0
1853,hydroxychloroquine,hydroxychloroquine,100.0,1955.0,4.0
1861,staccato loxapine,loxapine,100.0,1975.0,4.0
1864,isavuconazole,isavuconazole,100.0,,3.0
1867,fms inhibitor jnj-40346527,jnj-40346527,100.0,,2.0
1880,tasimelteon,tasimelteon,100.0,2014.0,4.0
1881,rosiglitazone,rosiglitazone,100.0,1999.0,4.0
1885,aee788,aee-788,92.3076923076923,,2.0
1886,romidepsin,romidepsin,100.0,,
1887,prx-102 (pegunigalsidase alfa),px-102,92.3076923076923,,2.0
1889,peginesatide,peginesatide,100.0,,3.0
1895,testosterone and standard nmes,testosterone,100.0,1953.0,4.0
1901,pictilisib,pictilisib,100.0,,
1903,belimumab,belimumab,100.0,2011.0,4.0
1904,iron isomaltoside/ferric derisomaltose,iron,100.0,2000.0,4.0
1906,lenvatinib,lenvatinib,100.0,2015.0,4.0
1907,dcvax-l and t cells,dcvax-l,100.0,,
1908,sparsentan,sparsentan,100.0,2023.0,4.0
1916,diazoxide choline controlled-release tablet,diazoxide,100.0,1973.0,4.0
1919,venlafaxine xr,venlafaxine,100.0,1993.0,4.0
1922,vilanterol,vilanterol,100.0,2013.0,4.0
1927,ertapenem,ertapenem,100.0,2001.0,4.0
1930,sulopenem,sulopenem,100.0,,3.0
1932,abacavir,abacavir,100.0,1998.0,4.0
1933,lamivudine,lamivudine,100.0,,
1936,rimonabant,rimonabant,100.0,2006.0,4.0
1937,dapsone  po bid,dapsone,100.0,1979.0,4.0
1940,acebilustat,acebilustat,100.0,,
1945,topical aminolevulinate,hexaminolevulinate,90.9090909090909,2010.0,4.0
1948,rocatinlimab vial injection,rocatinlimab,100.0,,3.0
1952,ataluren,ataluren,100.0,2014.0,4.0
1954,lamotrigine,lamotrigine,100.0,1994.0,4.0
1958,azimilide dihydrochloride,azimilide,100.0,,3.0
1959,miconazole  oil,miconazole,100.0,1974.0,4.0
1965,bococizumab (pf-04950615),bococizumab,100.0,,3.0
1970,tezosentan,tezosentan,100.0,,3.0
1973,bemotrizinol (),bemotrizinol,100.0,,3.0
1977,azd4877,azd-4877,93.33333333333333,,2.0
1983,phenobarbital,phenobarbital,100.0,2022.0,4.0
1988,calcium sodium phosphosilicate/ sodium monofluorophosphate dentifrice,calcium,100.0,1982.0,4.0
1990,sodium monofluorophosphate dentifrice,monofluorophosphate ion,90.47619047619048,1986.0,4.0
1993,pioglitazone,pioglitazone,100.0,1999.0,4.0
2006,quinacrine and capecitabine,quinacrine,100.0,,-1.0
2009,ctt1057,ctt-1057,93.33333333333333,,3.0
2013,riluzole  (part b),riluzole,100.0,1995.0,4.0
2016,axitinib (ag-013736),axitinib,100.0,2012.0,4.0
2020,sevelamer hydrochloride,sevelamer,100.0,,4.0
2021,napabucasin,napabucasin,100.0,,3.0
2023,desvenlafaxine sustained release (dvs sr),desvenlafaxine,100.0,2008.0,4.0
2028,romiplostim,romiplostim,100.0,2008.0,4.0
2029,elotuzumab (bms-901608; huluc63),elotuzumab,100.0,2015.0,4.0
2031,apocynin,apocynin,100.0,,1.0
2033,ng nitro l arginine methyl ester,arginine,100.0,,4.0
2044,pf-04937319,pf-04937319,100.0,,2.0
2045,glimepiride,glimepiride,100.0,1995.0,4.0
2052,ivacaftor,ivacaftor,100.0,2012.0,4.0
2056,afm13,afm-13,90.9090909090909,,1.0
2064,topiramate,topiramate,100.0,1996.0,4.0
2070,aripiprazole,aripiprazole,100.0,2015.0,4.0
2071,voclosporin,voclosporin,100.0,2021.0,4.0
2072,sonelokimab (m1095),sonelokimab,100.0,,2.0
2082,cimetidine,cimetidine,100.0,1977.0,4.0
2085,omaveloxolone capsules (2./capsule),omaveloxolone,100.0,,
2089,jnj-17216498,jnj-17216498,100.0,,2.0
2091,losartan,losartan,100.0,,
2092,pravastatin,pravastatin,100.0,1991.0,4.0
2093,erythromycin,erythromycin,100.0,1964.0,4.0
2100,inz-701,inz-701,100.0,,1.0
2103,crenolanib,crenolanib,100.0,,3.0
2104,midostaurin,midostaurin,100.0,2017.0,4.0
2111,biib033 (opicinumab),opicinumab,90.9090909090909,,2.0
2116,imc-a12 (cixutumumab) - 10 milligrams/kilogram (mg/kg),cixutumumab,91.66666666666666,,2.0
2118,simvastatin,simvastatin,100.0,,2.0
2121,itacitinib,itacitinib,100.0,,3.0
2124,denosumab,denosumab,100.0,2010.0,4.0
2126,st266,st266,100.0,,
2131,rifapentine,rifapentine,100.0,1998.0,4.0
2133,xanomeline tartrate,xanomeline,100.0,,1.0
2134,trospium chloride,trospium,100.0,2004.0,4.0
2139,regadenoson,regadenoson,100.0,,
2142,tesetaxel plus capecitabine,tesetaxel,100.0,,3.0
2153,digoxin,digoxin,100.0,1975.0,4.0
2158,uprosertib,uprosertib,100.0,,2.0
2161,fenretinide,fenretinide,100.0,,3.0
2162,fluorescein sodium,fluorescein,100.0,,
2174,fenofibrate,fenofibrate,100.0,2008.0,4.0
2175,dolutegravir,dolutegravir,100.0,,
2176,rlipivirine,rilpivirine,90.9090909090909,2011.0,4.0
2178,raltegravir,raltegravir,100.0,2007.0,4.0
2179,burosumab,burosumab,100.0,2018.0,4.0
2180,defactinib,defactinib,100.0,,2.0
2182,repaglinide,repaglinide,100.0,1997.0,4.0
2186,nemtabrutinib,nemtabrutinib,100.0,,3.0
2187,survodutide,survodutide,100.0,,2.0
2189,ustekinumab,ustekinumab,100.0,2009.0,4.0
2190,birinapant,birinapant,100.0,,2.0
2192,onalespib,onalespib,100.0,,1.0
2193,arbaclofen,arbaclofen,100.0,,3.0
2194,pentostatin for injection,pentostatin,100.0,1991.0,4.0
2195,11(r)-rolipram,(r)-rolipram,92.3076923076923,,
2196,lcl161,lcl-161,92.3076923076923,,2.0
2198,gsk2881078,gsk-2881078,95.23809523809523,,
2199,apd791,apd791,100.0,,2.0
2204,tegaserod,tegaserod,100.0,2002.0,4.0
2206,olpasiran,olpasiran,100.0,,3.0
2212,ruboxistaurin,ruboxistaurin,100.0,,3.0
2221,dextofisopam,dextofisopam,100.0,,2.0
2223,avacopan,avacopan,100.0,2021.0,4.0
2224,azathioprine,azathioprine,100.0,1968.0,4.0
2227,azd1656,azd-1656,93.33333333333333,,
2240,vinblastine,vinblastine,100.0,,
2244,ranolazine,ranolazine,100.0,,-1.0
2245,ampreloxetine,ampreloxetine,100.0,,3.0
2259,obatoclax mesylate,obatoclax,100.0,,
2263,goserelin,goserelin,100.0,1989.0,4.0
2264,tecemotide (l-blp25),tecemotide,100.0,,3.0
2265,abrocitinib,abrocitinib,100.0,2021.0,4.0
2267,mapracorat,mapracorat,100.0,,3.0
2268,ipi-549 (eganelisib),ipi-549,100.0,,2.0
2273,guselkumab,guselkumab,100.0,2017.0,4.0
2276,0.070 ppm ozone concentration,ozone,100.0,,3.0
2283,pf-06882961,pf-06882961,100.0,,2.0
2284,linezolid,linezolid,100.0,2000.0,4.0
2287,armodafinil,armodafinil,100.0,2007.0,4.0
2288,epothilone d (kos-862),epothilone d,90.9090909090909,,2.0
2291,asundexian (bay2433334),asundexian,100.0,,
2292,ly2886721,ly-2886721,94.73684210526316,,
2293,entinostat,entinostat,100.0,,3.0
2297,palifermin,palifermin,100.0,2005.0,4.0
2306,trilaciclib,trilaciclib,100.0,2021.0,4.0
2307,tropicamide -phenylephrine  ophthalmic solution (tr/pe),tropicamide,100.0,1960.0,4.0
2309,phenylephrine  ophthalmic solution (pe),phenylephrine,100.0,1952.0,4.0
2320,vinflunine,vinflunine,100.0,2009.0,4.0
2321,akt inhibitor mk2206,mk-2206,92.3076923076923,,
2322,tamoxifen,tamoxifen,100.0,1977.0,4.0
2325,ondansetron,ondansetron,100.0,1991.0,4.0
2327,ceralasertib,ceralasertib,100.0,,3.0
2332,imetelstat,imetelstat,100.0,,3.0
2345,lixisenatide (ave0010),lixisenatide,100.0,2013.0,4.0
2346,retapamulin,retapamulin,100.0,2007.0,4.0
2355,estriol,estriol,100.0,,
2362,lonafarnib,lonafarnib,100.0,2020.0,4.0
2365,macitentan,macitentan,100.0,2010.0,4.0
2366,selexipag,selexipag,100.0,2015.0,4.0
2367,blinatumomab,blinatumomab,100.0,2014.0,4.0
2373,sodium carboxymethylcellulose,carboxymethylcellulose,100.0,,4.0
2376,pterostilbene  twice daily,pterostilbene,100.0,,
2377,grape extract,grape,100.0,,4.0
2388,tolcapone,tolcapone,100.0,1997.0,4.0
2392,luliconazole solution,luliconazole,100.0,2013.0,4.0
2403,ttax01,ttax01,100.0,,
2416,tiotropium + olodaterol,tiotropium,100.0,2004.0,4.0
2418,olodaterol,olodaterol,100.0,2014.0,4.0
2430,relacorilant,relacorilant,100.0,,3.0
2433,semaglutide,semaglutide,100.0,,
2434,gw468816,gw-468816,94.11764705882352,,
2436,sulindac,sulindac,100.0,1978.0,4.0
2449,mepivacaine,mepivacaine,100.0,1960.0,4.0
2453,pardoprunox,pardoprunox,100.0,,-1.0
2454,prx-08066,prx-08066,100.0,,2.0
2457,apalutamide,apalutamide,100.0,2018.0,4.0
2462,niacin er,niacin,100.0,,4.0
2463,sap-001,ap-001,92.3076923076923,,-1.0
2466,clazakizumab,clazakizumab,100.0,,3.0
2467,rilonacept,rilonacept,100.0,2008.0,4.0
2470,resiniferatoxin,resiniferatoxin,100.0,,
2478,erenumab,erenumab,100.0,2018.0,4.0
2483,pracinostat,pracinostat,100.0,,3.0
2507,dapansutrile capsules,dapansutrile,100.0,,2.0
2508,vandetanib,vandetanib,100.0,2011.0,4.0
2512,e2007 (perampanel),perampanel,90.9090909090909,2012.0,4.0
2519,talabostat mesylate,talabostat,100.0,,2.0
2525,olmesartan medoxomil-hydrochlorothiazide,olmesartan,100.0,2002.0,4.0
2529,fasinumab,fasinumab,100.0,,3.0
2533,bms-830216,bms-830216,100.0,,1.0
2534,low tocotrienols group,tocotrienol,95.65217391304348,,
2536,salmeterol,salmeterol,100.0,1994.0,4.0
2540,vorasidenib,vorasidenib,100.0,,1.0
2542,prasugrel,prasugrel,100.0,2009.0,4.0
2546,eltoprazine,eltoprazine,100.0,,
2553,alfuzosin (sl770499),alfuzosin,100.0,2003.0,4.0
2561,gemcabene,gemcabene,100.0,,-1.0
2564,hdac inhibitor ar-42,ar-42,100.0,,2.0
2565,gtx-758,gtx-758,100.0,,2.0
2568,padsevonil,padsevonil,100.0,,3.0
2574,elezanumab,elezanumab,100.0,,2.0
2578,xentuzumab,xentuzumab,100.0,,2.0
2593,cavosonstat,cavosonstat,100.0,,2.0
2596,terbinafine,terbinafine,100.0,1992.0,4.0
2603,cemiplimab,cemiplimab,100.0,2018.0,4.0
2604,satraplatin,satraplatin,100.0,,3.0
2607,mupirocin intranasal creme,mupirocin,100.0,1995.0,4.0
2616,pentobarbital,pentobarbital,100.0,1973.0,4.0
2627,plecanatide,plecanatide,100.0,2017.0,4.0
2631,d-cycloserine,l-cycloserine,92.3076923076923,,2.0
2634,alogliptin,alogliptin,100.0,2013.0,4.0
2635,flutamide (eulexin) and lupron or zoladex,flutamide,100.0,1989.0,4.0
2640,tolbutamide,tolbutamide,100.0,1961.0,4.0
2657,fasiglifam (tak-875),fasiglifam,100.0,,3.0
2658,golimumab /kg iv,golimumab,100.0,2009.0,4.0
2664,fluoxetine,fluoxetine,100.0,1987.0,4.0
2665,trx518 monotherapy,trx-518,92.3076923076923,,1.0
2669,fedratinib pill,fedratinib,100.0,2019.0,4.0
2670,andecaliximab,andecaliximab,100.0,,3.0
2672,cangrelor,cangrelor,100.0,2015.0,4.0
2677,saroglitazar magnesium,saroglitazar,100.0,,3.0
2683,simeprevir (smv),simeprevir,100.0,2013.0,4.0
2692,iferanserin,iferanserin,100.0,,3.0
2693,tizanidine,tizanidine,100.0,1996.0,4.0
2694,ipamorelin,ipamorelin,100.0,,2.0
2698,cefdinir for oral suspension /5ml,cefdinir,100.0,1997.0,4.0
2700,triapine,triapine,100.0,,3.0
2706,pf-03654746,pf-03654746,100.0,,2.0
2716,balsalazide disodium,balsalazide,100.0,2000.0,4.0
2717,cgc-11047 and gemcitabine,cgc-11047,100.0,,2.0
2727,tapinarof cream,tapinarof,100.0,2022.0,4.0
2730,sotatercept,sotatercept,100.0,,3.0
2731,leflunomide,leflunomide,100.0,1998.0,4.0
2732,tedisamil sesquifumarate,tedisamil,100.0,,
2735,cranberry powder capsules,cranberry,100.0,,2.0
2740,apremilast tablet,apremilast,100.0,2014.0,4.0
2742,elobixibat /day,elobixibat,100.0,,3.0
2750,st101,st-101,90.9090909090909,,2.0
2751,a-001,at-001,90.9090909090909,,
2761,baricitinib,baricitinib,100.0,2017.0,4.0
2769,camostat,camostat,100.0,,3.0
2775,glipizide,glipizide,100.0,1984.0,4.0
2778,lorcaserin,lorcaserin,100.0,2012.0,4.0
2781,l-arginine,l-arginine,100.0,,
2784,diclofenac,diclofenac,100.0,1988.0,4.0
2785,macimorelin,macimorelin,100.0,2017.0,4.0
2787,abametapir lotion  w/w,abametapir,100.0,2020.0,4.0
2790,nebivolol,nebivolol,100.0,2007.0,4.0
2792,quinine,quinine,100.0,2005.0,4.0
2794,sarilumab,sarilumab,100.0,2017.0,4.0
2795,suramin,suramin,100.0,,
2799,imm0306,imm-0306,93.33333333333333,,1.0
2805,bimagrumab,bimagrumab,100.0,,3.0
2806,teniposide,teniposide,100.0,1992.0,4.0
2807,plx8394,plx8394,100.0,,2.0
2812,topical resiquimod,resiquimod,100.0,,2.0
2814,sb206  berdazimer,berdazimer,100.0,,3.0
2815,thymoglobulin,thyroglobulin,92.3076923076923,1982.0,4.0
2823,gantenerumab,gantenerumab,100.0,,3.0
2836,ceftobiprole medocaril,ceftobiprole,100.0,,3.0
2838,thiotepa,thiotepa,100.0,1959.0,4.0
2845,emixustat hcl tablet,emixustat,100.0,,3.0
2847,otamixaban (xrp0673),otamixaban,100.0,,3.0
2859,palovarotene,palovarotene,100.0,2023.0,4.0
2860,dalantercept,dalantercept,100.0,,3.0
2862,dexelvucitabine,dexelvucitabine,100.0,,2.0
2863,polidocanol injectable foam,polidocanol,100.0,2010.0,4.0
2864,pf-04136309,pf-4136309,95.23809523809523,,
2872,imiglucerase,imiglucerase,100.0,1994.0,4.0
2875,lorazepam,lorazepam,100.0,1977.0,4.0
2877,acamprosate,acamprosate,100.0,2004.0,4.0
2879,broccoli sprout extract (bse),broccoli,100.0,,
2881,linaclotide,linaclotide,100.0,2012.0,4.0
2886,retifanlimab,retifanlimab,100.0,2023.0,4.0
2892,fingolimod,fingolimod,100.0,2010.0,4.0
2899,belrestotug.,belrestotug,95.65217391304348,,2.0
2900,nelistotug,nelistotug,100.0,,2.0
2901,masitinib,masitinib,100.0,2008.0,4.0
2902,cpi-006 /kg + soc,cpi-006,100.0,,3.0
2903,ampicillin,ampicillin,100.0,1965.0,4.0
2904,amoxicillin,amoxicillin,100.0,,4.0
2911,lornoxicam,lornoxicam,100.0,,4.0
2913,umbralisib,umbralisib,100.0,2021.0,4.0
2926,acetylcholine,acetylcholine,100.0,1973.0,4.0
2928,clotrimazole,clotrimazole,100.0,1975.0,4.0
2932,milademetan,milademetan,100.0,,2.0
2942,tolvaptan,tolvaptan,100.0,2009.0,4.0
2946,alprazolam orally disintegrating tablets,alprazolam,100.0,1981.0,4.0
2955,natalizumab,natalizumab,100.0,2004.0,4.0
2958,azd8529,azd8529,100.0,,
2959,reproxalap ophthalmic solution (),reproxalap,100.0,,3.0
2962,gsi-136,gsi-136,100.0,,1.0
2972,rozerem (ramelteon),ramelteon,90.0,2005.0,4.0
2976,lanreotide atg,lanreotide,100.0,2007.0,4.0
2977,viaskin peanut,peanut,100.0,,4.0
2980,sofosbuvir,sofosbuvir,100.0,2013.0,4.0
2981,ledipasvir,ledipasvir,100.0,2014.0,4.0
2991,acc-001 () + qs-21,qs-21,100.0,,3.0
2998,fremanezumab,fremanezumab,100.0,2018.0,4.0
2999,bnc105p,bnc105,92.3076923076923,,
3000,cotadutide,cotadutide,100.0,,2.0
3008,cohort 1: lubiprostone capsule,lubiprostone,100.0,2006.0,4.0
3022,ethanol,ethanol,100.0,,4.0
3041,triciribine,triciribine,100.0,,
3042,insulin degludec/insulin aspart,insulin degludec,93.75,2013.0,4.0
3045,tiopronin,tiopronin,100.0,1988.0,4.0
3049,am-101 0.,amy-101,92.3076923076923,,2.0
3050,alirocumab,alirocumab,100.0,2015.0,4.0
3054,rivaroxaban,rivaroxaban,100.0,2008.0,4.0
3055,brolucizumab ophthalmic solution,brolucizumab,100.0,2019.0,4.0
3057,pf-04457845,pf-04457845,100.0,,2.0
3070,lucitanib,lucitanib,100.0,,2.0
3076,mesdopetam,mesdopetam,100.0,,2.0
3077,nicotinamide,nicotinamide,100.0,,4.0
3081,gusacitinib,gusacitinib,100.0,,2.0
